step pe pxx pyy pzz pxy pxz pyz
103 -934.59857925080814312 -13569.397096733602666 -9629.9780666574715724 23626.430034198205249 12409.420162241385697 14969.412639598149326 -5456.788789697694483
104 -935.8623424082411475 -13047.528751626932717 -18713.510093470962602 17217.464720428615692 -20286.89883200814802 -18503.641315965956892 -1402.236825480275229
105 -932.0197944201484006 43659.855542835211963 -13715.740842625027653 -23404.53473518955434 -7226.9167109018871997 12331.870107634556916 -7895.1597572318514722
106 -934.64322846949823997 51339.781875850931101 -26286.562929105995863 -7815.679598295748292 -5246.0369178539103814 16625.242053154484893 -8497.0198524765019101
107 -932.04442947229586025 69996.039857148425654 -10763.877664950819963 22428.414050364575814 16636.341066227290867 18202.897332046533847 -7165.4570494667032108
108 -928.88213530550206087 66026.549362302204827 -569.75631039131235411 17227.861857146035618 29442.768926369572 13277.908913607965587 -1355.9970682106961704
109 -927.86890471394178803 13799.568902438039004 5710.0705888085840343 10288.390633481612895 15177.633597234907938 745.24997210016078952 -2185.5865213200695507
110 -927.01239600586052347 21275.471917989427311 15167.293285598037983 24983.539517736448033 5019.8793276259784761 2936.2977372142677268 13417.439913374166281
111 -929.97296739457351578 24909.925203313112434 460.04308356463337759 7397.7363520481831074 12.9430006047377546 14300.254901409121885 -22228.205656392841775
112 -929.92333662371925129 1967.6269272023744179 -6448.680995652411184 9500.1398402803570207 3548.0022683786837661 -5886.2847878784778004 9067.557155311014867
113 -928.28208190766565622 4359.3247325756055943 7329.0758156998708728 12036.418023896825616 5366.6907699931070965 -5833.4314482932559258 -21155.14845615014201
114 -926.9562598129637081 66152.194156337936874 -5356.3155934530559534 -2609.2521389652565631 14506.729420693840439 15397.493933545851178 4283.4893939487910757
115 -926.82052041179360913 40917.215164336099406 -10683.866567210317953 -3109.6157775883589238 4171.4126734225546898 9253.3230637700999068 -14414.691823091046899
116 -929.7383073688655486 2555.824206315198353 20264.832196082839801 12521.599654259478484 17622.802954566224798 4735.4042839407875363 10745.1451661122519
117 -925.88026094151064171 21732.029325759063795 45810.698869597057637 25055.906568252652505 23287.791483304281428 -4137.0978776749625467 11424.166465303709629
118 -931.58472809073737153 10378.222362215470639 -22588.218097339067754 8677.2040537429584219 6037.7015071412743055 -20624.23513074154107 -10467.484314056679068
119 -929.9083994341340258 11850.649952882708021 -14162.836259028044879 8597.2745508201369375 32063.993723510713608 12876.583360662616542 36230.600878997662221
120 -932.61036862035302875 -14393.005411982532678 -10588.473408928366553 -6625.6610332634509177 -6705.3996141021461881 10417.291763547464143 -16041.595414248389716
121 -924.72929980560832064 30786.437508398976206 18839.120800014035922 46057.108894425466133 -5989.1698034017017562 -16509.178467052250198 -1885.4914957856592537
122 -925.09354613492087083 26293.273210533414385 18997.180054051874322 38990.181175460100349 622.10763204953843797 -14112.702777618442269 -1584.9597196273755344
123 -924.06036761121674772 -266.197993147961256 18395.586297673100489 4629.4735006320916 22540.320381335837737 4096.9845220993456678 15414.203147715643354
124 -926.51783529101226122 -33631.044076583384594 -28600.457791158773034 -8404.1980394627589703 6469.9066855356295491 3556.7111004168032196 10705.210072581208806
125 -929.17324799750008424 -33890.435889076317835 -31991.588049427591613 -23271.398010502074612 -464.76132447672603121 -726.39482979171691568 -6334.8541532549088515
126 -925.47311806654704469 7953.1004267464677469 -997.93066721740569847 20340.483839578722836 -13741.08210418490853 -20180.771945925916953 2482.5465395579981305
127 -928.64414420088883162 7371.8837623201306997 -17519.383805465316982 21455.040724965674599 -45247.842528340246645 -19527.577006622377667 -2781.7528280841952437
128 -928.26218330846234039 -3841.82883679505494 36878.666624315781519 21764.134289094225096 -4299.1022231970709981 -7004.1880026621583966 -7634.1214816439605784
129 -929.43287231145677652 -30468.451577229887334 -8239.1111054601151409 -15258.829559123865693 4671.7410666026835315 4186.3371364457698292 -13585.594112461731129
